Id,VkLink,Location
433569823,https://vk.com/id433569823,"ТК Садовод, Корпус А, 2Б-49"
-149640949,https://vk.com/public149640949,"ТК Садовод, Корпус А, 2Б-49"
414584218,https://vk.com/id414584218,"ТК Садовод, СТ9-03"
430978966,https://vk.com/id430978966,"ТК Садовод, 1В-98/1У"
-168858519,https://vk.com/public168858519,"ТК Садовод, 11-58"
-186864480,https://vk.com/public186864480,"ТК Садовод, 9-11"
-207879137,https://vk.com/public207879137,"ТК Садовод, 8-30"
459309916,https://vk.com/id459309916,"ТК Садовод, 19-73"
437760277,https://vk.com/id437760277,"ТК Садовод, 2А-75"
384543255,https://vk.com/id384543255,"ТК Садовод, СТ5-05"
-191415890,https://vk.com/public191415890,"ТК Садовод, 27-09"
532191634,https://vk.com/id532191634,"ТК Садовод, 17-56 | 18-55"
-167529736,https://vk.com/public167529736,"ТК Садовод, 22-110"
480439768,https://vk.com/id480439768,"ТК Садовод, 24-1"
-178922795,https://vk.com/public178922795,"ТК Садовод, 2в-05"
553555823,https://vk.com/id553555823,"ТК Садовод, -"
521902401,https://vk.com/id521902401,"ТК Садовод, 27-57"
-179462512,https://vk.com/public179462512,"ТК Садовод, Корпус А, 2В-18"
-204120696,https://vk.com/public204120696,"ТК Садовод, 28-93"
449050155,https://vk.com/id449050155,"ТК Садовод, Корпус А, 2Г-01"
497769041,https://vk.com/id497769041,"ТК Садовод, 22-131"
339048304,https://vk.com/id339048304,"ТК Садовод, 33-31"
518542877,https://vk.com/id518542877,"ТК Садовод, 2Г-99/1"
-186503357,https://vk.com/public186503357,"ТК Садовод, 22-122"
474437455,https://vk.com/id474437455,"ТК Садовод, 28-43"
550477281,https://vk.com/id550477281,"ТК Садовод, Корпус Б, 2В-14 или 2Г-19"
585793278,https://vk.com/id585793278,"ТК Садовод, 22-133"
-204553149,https://vk.com/public204553149,"ТК Садовод, Корпус Б, 2Г-36"
-179763161,https://vk.com/public179763161,"ТК Садовод, Корпус А, 2В-41"
395174014,https://vk.com/id395174014,"ТК Садовод, Корпус Б, 2Г-69"
332619403,https://vk.com/id332619403,"ТК Садовод, Корпус А, 2Г-73"
490728474,https://vk.com/id490728474,"ТК Садовод, 83-7"
505332867,https://vk.com/id505332867,"ТК Садовод, 1-1-14"
449291497,https://vk.com/id449291497,"ТК Садовод, Корпус А, 2В-86"
648235961,https://vk.com/id648235961,"ТК Садовод, 27-67"
552873023,https://vk.com/id552873023,"ТК Садовод, 27-94"
